invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country
C493861,79340W,WHITE ORCHID FLOWER LIGHTS,1,2010-01-07 16:19:00,6.75,13767.0,United Kingdom
C523397,22061,LARGE CAKE STAND  HANGING STRAWBERY,1,2010-09-21 20:16:00,9.95,17865.0,United Kingdom
C536737,22798,ANTIQUE GLASS DRESSING TABLE POT,2,2010-12-02 13:05:00,2.95,15922.0,United Kingdom
C502621,15060B,FAIRY CAKE DESIGN UMBRELLA,1,2010-03-25 15:09:00,3.75,13872.0,United Kingdom
C564960,23025,DRAWER KNOB VINTAGE GLASS BALL,6,2011-08-31 14:24:00,2.08,14525.0,United Kingdom
C499288,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-02-25 19:21:00,6.95,18172.0,United Kingdom
C577832,21231,SWEETHEART CERAMIC TRINKET BOX,12,2011-11-22 10:18:00,1.25,18274.0,United Kingdom
C536164,21210,SET OF 72 RETROSPOT PAPER  DOILIES,11,2010-11-30 12:09:00,1.25,15369.0,United Kingdom
C528075,22198,LARGE POPCORN HOLDER ,2,2010-10-20 12:39:00,1.65,16797.0,United Kingdom
C557663,85169A,IVORY LOVE BIRD CANDLE,12,2011-06-21 17:59:00,1.25,,EIRE
C540535,85023B,EAU DE NILE JEWELLED PHOTOFRAME,1,2011-01-09 14:17:00,2.55,15005.0,United Kingdom
C525537,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1,2010-10-05 19:10:00,7.95,13922.0,United Kingdom
C520853,20681,PINK SPOTTY CHILDS UMBRELLA,1,2010-08-31 13:13:00,3.25,12709.0,Germany
C520338,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,2010-08-25 12:43:00,1.65,13520.0,Switzerland
C536195,21735,TWO DOOR CURIO CABINET,1,2010-11-30 12:50:00,12.75,14756.0,United Kingdom
C499380,21536,DAIRY MAID  SMALL  MILK JUG,1,2010-02-26 12:04:00,2.1,12854.0,United Kingdom
C563773,22730,ALARM CLOCK BAKELIKE IVORY,8,2011-08-19 11:18:00,3.75,13048.0,United Kingdom
C546854,20726,LUNCH BAG WOODLAND,1,2011-03-17 13:55:00,1.45,17511.0,United Kingdom
C536820,21843,RED RETROSPOT CAKE STAND,1,2010-12-02 17:14:00,10.95,18168.0,United Kingdom
C571707,M,Manual,2,2011-10-18 15:33:00,0.42,14056.0,United Kingdom
C556640,22191,IVORY DINER WALL CLOCK,1,2011-06-13 15:44:00,8.5,13148.0,United Kingdom
C492013,POST,POSTAGE,1,2009-12-15 11:55:00,5.0,13577.0,United Kingdom
C519383,84406B,CREAM CUPID HEARTS COAT HANGER,1,2010-08-16 14:10:00,3.25,18109.0,United Kingdom
C565848,21485,RETROSPOT HEART HOT WATER BOTTLE,1,2011-09-07 12:48:00,4.95,14606.0,United Kingdom
C524492,22383,LUNCH BAG SUKI  DESIGN ,1,2010-09-29 12:24:00,1.65,14451.0,United Kingdom
C533124,21217,RED RETROSPOT ROUND CAKE TINS,1,2010-11-16 12:41:00,9.95,15281.0,United Kingdom
C496025,21478,SILVER SKULL HOT WATER BOTTLE ,1,2010-01-28 14:12:00,3.75,,United Kingdom
C581569,84978,HANGING HEART JAR T-LIGHT HOLDER,1,2011-12-09 11:58:00,1.25,17315.0,United Kingdom
C548357,22423,REGENCY CAKESTAND 3 TIER,1,2011-03-30 15:14:00,10.95,15785.0,United Kingdom
C531179,22138,BAKING SET 9 PIECE RETROSPOT ,6,2010-11-05 14:56:00,4.95,15796.0,United Kingdom
C504423,85132C,CHARLIE AND LOLA FIGURES TINS,1,2010-04-13 13:13:00,9.95,14606.0,United Kingdom
C565597,22980,PANTRY SCRUBBING BRUSH,1,2011-09-05 14:29:00,1.65,12709.0,Germany
C554330,23174,REGENCY SUGAR BOWL GREEN,1,2011-05-23 17:08:00,4.15,12749.0,United Kingdom
C499278,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2,2010-02-25 18:43:00,6.75,14732.0,United Kingdom
C533081,21832,CHOCOLATE CALCULATOR,1,2010-11-16 09:36:00,1.65,17994.0,United Kingdom
C547711,22692,DOORMAT WELCOME TO OUR HOME,1,2011-03-24 19:31:00,7.95,13534.0,United Kingdom
C537602,21622,VINTAGE UNION JACK CUSHION COVER,1,2010-12-07 12:45:00,4.95,17511.0,United Kingdom
C560855,22968,ROSE COTTAGE KEEPSAKE BOX ,1,2011-07-21 13:00:00,9.95,14410.0,United Kingdom
C513954,21474,SWEETHEART CREAM STEEL FOLDIN BENCH,2,2010-06-29 14:32:00,19.95,13963.0,United Kingdom
C511264,D,Discount,1,2010-06-07 12:45:00,35.1,16655.0,United Kingdom
C533122,85045,GREEN CHRISTMAS TREE STRING 20LIGHT,6,2010-11-16 12:39:00,4.25,17695.0,United Kingdom
C498784,20865,PATCHWORK PENCIL CASE BUTTERFLY ,1,2010-02-23 10:58:00,2.1,12755.0,Japan
C560390,22698,PINK REGENCY TEACUP AND SAUCER,1,2011-07-18 13:20:00,2.95,12930.0,United Kingdom
C576324,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,6,2011-11-14 15:10:00,1.25,16161.0,United Kingdom
C518544,21916,SET 12 RETRO WHITE CHALK STICKS,24,2010-08-09 18:20:00,0.42,17314.0,United Kingdom
C510809,22041,"RECORD FRAME 7"" SINGLE SIZE ",4,2010-06-03 19:18:00,2.55,18223.0,United Kingdom
C570486,22492,MINI PAINT SET VINTAGE ,36,2011-10-10 17:11:00,0.65,14533.0,United Kingdom
C523574,M,Manual,1,2010-09-22 16:19:00,127.66,13910.0,United Kingdom
C571637,23348,CHILDRENS TOY COOKING UTENSIL SET,2,2011-10-18 11:55:00,2.08,14688.0,United Kingdom
C559189,22028,PENNY FARTHING BIRTHDAY CARD,12,2011-07-07 10:25:00,0.42,12626.0,Germany
C577839,22138,BAKING SET 9 PIECE RETROSPOT ,1,2011-11-22 10:33:00,4.95,16633.0,United Kingdom
C490798,84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,6,2009-12-08 11:51:00,3.75,14277.0,France
C512707,22109,FULL ENGLISH BREAKFAST PLATE,1,2010-06-17 12:14:00,3.75,,United Kingdom
C574955,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,2011-11-08 09:56:00,4.95,15066.0,United Kingdom
C545828,22697,GREEN REGENCY TEACUP AND SAUCER,1,2011-03-07 13:05:00,2.95,15189.0,United Kingdom
C490935,85150,LADIES & GENTLEMEN METAL SIGN,6,2009-12-08 13:54:00,2.55,15326.0,United Kingdom
C551863,21395,BLUE POLKADOT BEAKER ,2,2011-05-04 16:12:00,0.39,16145.0,United Kingdom
C496218,22061,LARGE CAKE STAND  HANGING STRAWBERY,1,2010-01-29 13:48:00,9.95,16523.0,United Kingdom
C536606,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2,2010-12-02 09:10:00,2.95,14092.0,United Kingdom
C531743,22630,DOLLY GIRL LUNCH BOX,11,2010-11-09 12:50:00,1.95,16960.0,United Kingdom
C540307,22084,PAPER CHAIN KIT EMPIRE,36,2011-01-06 12:58:00,2.95,15823.0,United Kingdom
C544594,47591D,PINK FAIRY CAKE CHILDRENS APRON,1,2011-02-21 16:58:00,1.95,15079.0,United Kingdom
C499224,21115,ROSE CARAVAN DOORSTOP,1,2010-02-25 11:46:00,6.75,13735.0,United Kingdom
C542588,21313,GLASS HEART T-LIGHT HOLDER ,5,2011-01-28 15:57:00,0.85,12997.0,United Kingdom
C539667,85131A,BEADED PEARL HEART WHITE ON STICK,6,2010-12-21 10:47:00,0.42,13148.0,United Kingdom
C579902,23165,LARGE CERAMIC TOP STORAGE JAR,2,2011-12-01 08:39:00,1.65,13365.0,United Kingdom
C558521,23298,SPOTTY BUNTING,2,2011-06-30 10:31:00,4.15,13113.0,United Kingdom
C565615,23348,CHILDRENS TOY COOKING UTENSIL SET,6,2011-09-05 15:20:00,2.08,12683.0,France
C493190,22335,HEART DECORATION PAINTED ZINC ,1,2009-12-22 13:08:00,0.65,15581.0,United Kingdom
C555337,84906,PINK BUTTERFLY CUSHION COVER,1,2011-06-02 11:13:00,1.95,16729.0,United Kingdom
C555355,35810B,ENAMEL BLUE RIM COFFEE CONTAINER,12,2011-06-02 13:27:00,0.83,15841.0,United Kingdom
C527905,M,Manual,1,2010-10-19 12:47:00,55.95,,United Kingdom
C536203,37370,RETRO COFFEE MUGS ASSORTED,4,2010-11-30 13:15:00,1.25,17069.0,United Kingdom
C490744,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,1,2009-12-07 18:00:00,5.95,16556.0,United Kingdom
C536227,85099B,JUMBO BAG RED RETROSPOT,1,2010-11-30 14:07:00,1.95,16612.0,United Kingdom
C562124,15044C,PURPLE PAPER PARASOL,2,2011-08-02 17:23:00,2.55,13081.0,United Kingdom
C556668,22963,JAM JAR WITH GREEN LID,6,2011-06-13 16:26:00,0.85,15827.0,United Kingdom
C528877,79323W,WHITE CHERRY LIGHTS,2,2010-10-25 12:14:00,6.75,13267.0,United Kingdom
C565681,23256,CHILDRENS CUTLERY SPACEBOY ,4,2011-09-06 10:42:00,4.15,15521.0,United Kingdom
C524995,22423,REGENCY CAKESTAND 3 TIER,6,2010-10-01 16:44:00,10.95,15093.0,United Kingdom
C518955,20681,PINK SPOTTY CHILDS UMBRELLA,1,2010-08-12 15:20:00,3.25,16221.0,United Kingdom
C542798,21429,RED GINGHAM ROSE JEWELLERY BOX,1,2011-02-01 11:09:00,1.65,12477.0,Germany
C499984,21243,PINK  SPOTTY PLATE ,8,2010-03-03 16:02:00,1.69,12598.0,France
C570867,22712,CARD DOLLY GIRL ,12,2011-10-12 16:17:00,0.42,12607.0,USA
C542404,85099F,JUMBO BAG STRAWBERRY,1,2011-01-27 16:08:00,1.95,13534.0,United Kingdom
C578274,85034C,3 ROSE MORRIS BOXED CANDLES,1,2011-11-23 13:42:00,1.25,17828.0,Malta
C575940,21621,VINTAGE UNION JACK BUNTING,6,2011-11-13 11:38:00,8.5,17838.0,United Kingdom
C549919,22672,FRENCH BATHROOM SIGN BLUE METAL,2,2011-04-13 09:50:00,1.65,15201.0,United Kingdom
C564913,22960,JAM MAKING SET WITH JARS,1,2011-08-31 12:39:00,4.25,12560.0,Germany
C524847,22187,GREEN CHRISTMAS TREE CARD HOLDER,1,2010-09-30 18:29:00,4.25,14875.0,United Kingdom
C571860,21181,PLEASE ONE PERSON METAL SIGN,1,2011-10-19 13:42:00,2.1,14175.0,United Kingdom
C515976,21843,RED RETROSPOT CAKE STAND,3,2010-07-16 08:05:00,10.95,14175.0,United Kingdom
C543756,84949,SILVER HANGING T-LIGHT HOLDER,6,2011-02-11 14:50:00,1.45,13089.0,United Kingdom
C575616,23470,CARD HOLDER LOVE BIRD LARGE ,4,2011-11-10 12:51:00,5.39,15805.0,United Kingdom
C544174,21272,SALLE DE BAIN HOOK,1,2011-02-16 14:13:00,1.25,13001.0,United Kingdom
C533308,22667,RECIPE BOX RETROSPOT ,2,2010-11-16 16:59:00,2.95,12951.0,United Kingdom
C515990,22427,ENAMEL FLOWER JUG CREAM,1,2010-07-16 08:23:00,5.95,16554.0,United Kingdom
C543603,35004C,SET OF 3 COLOURED  FLYING DUCKS,1,2011-02-10 13:40:00,5.45,15570.0,United Kingdom
C548460,22624,IVORY KITCHEN SCALES,2,2011-03-31 11:58:00,8.5,16801.0,United Kingdom
C565237,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2011-09-02 09:47:00,2.95,14299.0,United Kingdom
C498520,21397,BLUE  SPOTTY EGG CUP ,12,2010-02-19 13:13:00,1.25,15240.0,United Kingdom
C508347,35967,FOLK ART METAL STAR T-LIGHT HOLDER,1,2010-05-14 12:21:00,0.38,13576.0,United Kingdom
C502088,S,SAMPLES,1,2010-03-22 16:03:00,259.59,,United Kingdom
C520541,20675,BLUE SPOTTY BOWL,8,2010-08-26 16:06:00,1.25,12720.0,Germany
C557653,84946,ANTIQUE SILVER T-LIGHT GLASS,4,2011-06-21 17:25:00,1.25,14040.0,United Kingdom
C562116,21931,JUMBO STORAGE BAG SUKI,1,2011-08-02 16:19:00,2.08,15810.0,United Kingdom
C527410,84378,SET OF 3 HEART COOKIE CUTTERS,1,2010-10-17 15:02:00,1.06,13798.0,United Kingdom
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,2010-12-01 10:24:00,1.65,17548.0,United Kingdom
C514340,21158,MOODY GIRL DOOR HANGER ,1,2010-07-01 15:01:00,1.45,14527.0,United Kingdom
C511649,20892,SET/3 TALL GLASS CANDLE HOLDER PINK,3,2010-06-09 13:55:00,12.75,14543.0,United Kingdom
C503223,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,1,2010-03-30 16:24:00,2.55,15819.0,United Kingdom
C540246,22942,CHRISTMAS LIGHTS 10 SANTAS ,1,2011-01-05 15:43:00,8.5,13081.0,United Kingdom
C531793,M,Manual,1,2010-11-09 15:24:00,106.53,,United Kingdom
C546206,22064,PINK DOUGHNUT TRINKET POT ,1,2011-03-10 11:15:00,1.65,13014.0,United Kingdom
C494367,22060,LARGE CAKE STAND HANGING HEARTS,1,2010-01-13 16:09:00,9.95,15827.0,United Kingdom
C489568,22107,PIZZA PLATE IN BOX,1,2009-12-01 13:20:00,3.75,15005.0,United Kingdom
C560855,21248,DOOR HANGER  MUM + DADS ROOM,1,2011-07-21 13:00:00,1.45,14410.0,United Kingdom
C543469,22503,CABIN BAG VINTAGE PAISLEY,1,2011-02-08 14:55:00,12.75,12709.0,Germany
C554529,23174,REGENCY SUGAR BOWL GREEN,1,2011-05-24 17:27:00,4.15,14226.0,United Kingdom
C515686,22215,CAKE STAND WHITE TWO TIER LACE,2,2010-07-14 12:02:00,8.5,13901.0,United Kingdom
C508056,85135C,RED DRAGONFLY HELICOPTER,1,2010-05-12 13:18:00,7.95,14527.0,United Kingdom
C547899,M,Manual,1,2011-03-28 11:51:00,1486.12,,United Kingdom
C509950,79320,FLAMINGO LIGHTS,1,2010-05-26 12:46:00,4.25,17511.0,United Kingdom
C510609,79323P,PINK CHERRY LIGHTS,2,2010-06-02 10:31:00,6.75,15249.0,United Kingdom
C560855,21456,2 PICTURE BOOK EGGS EASTER CHICKS,1,2011-07-21 13:00:00,1.25,14410.0,United Kingdom
C495373,22058,CERAMIC LOVE HEARTS DESIGN MUG,6,2010-01-24 13:00:00,1.49,12748.0,United Kingdom
C557249,84687,BEACH HUT SHELF W 3 DRAWERS,2,2011-06-17 15:34:00,5.95,16817.0,United Kingdom
C504392,85042,ANTIQUE LILY FAIRY LIGHTS,2,2010-04-13 11:41:00,4.95,17841.0,United Kingdom
C512322,15058A,BLUE WHITE SPOTS GARDEN PARASOL,10,2010-06-15 09:33:00,6.75,12843.0,United Kingdom
C506128,22064,PINK DOUGHNUT TRINKET POT ,1,2010-04-27 14:39:00,1.65,15005.0,United Kingdom
C493859,21257,VICTORIAN SEWING BOX MEDIUM,4,2010-01-07 16:15:00,7.95,14911.0,EIRE
C570406,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,1,2011-10-10 12:52:00,9.95,17841.0,United Kingdom
C542910,22659,LUNCH BOX I LOVE LONDON,1,2011-02-01 15:38:00,1.65,17511.0,United Kingdom
C527410,35924,HANGING FAIRY CAKE DECORATION,8,2010-10-17 15:02:00,1.69,13798.0,United Kingdom
C507415,21333,CLASSIC WHITE FRAME,2,2010-05-09 14:14:00,2.95,16150.0,United Kingdom
C530054,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,8,2010-11-01 11:13:00,9.95,16191.0,United Kingdom
C538684,21258,VICTORIAN SEWING BOX LARGE,1,2010-12-14 09:26:00,12.75,16161.0,United Kingdom
C508725,79341,WILLOW BRANCH LIGHTS.,2,2010-05-18 09:33:00,6.75,13000.0,United Kingdom
C531807,22731,3D CHRISTMAS STAMPS STICKERS ,20,2010-11-09 16:12:00,1.25,15215.0,United Kingdom
C504185,84292,ROSE PINK METAL FOLDING CHAIR,1,2010-04-12 09:37:00,7.95,13196.0,United Kingdom
C539950,85099B,JUMBO BAG RED RETROSPOT,10,2010-12-23 11:50:00,1.95,13534.0,United Kingdom
C517572,37448,CERAMIC CAKE DESIGN SPOTTED MUG,4,2010-07-30 09:37:00,1.49,15298.0,United Kingdom
C508240,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,2,2010-05-13 19:53:00,9.95,14329.0,United Kingdom
C497026,21320,GLASS CHALICE GREEN  LARGE ,1,2010-02-05 13:17:00,2.1,15311.0,United Kingdom
C557842,22664,TOY TIDY DOLLY GIRL DESIGN,1,2011-06-23 10:42:00,2.1,14159.0,United Kingdom
C574065,22614,PACK OF 12 SPACEBOY TISSUES,12,2011-11-02 14:43:00,0.39,13271.0,United Kingdom
C564494,BANK CHARGES,Bank Charges,1,2011-08-25 14:20:00,83.83,,United Kingdom
C527289,16216,LETTER SHAPE PENCIL SHARPENER,10,2010-10-15 14:07:00,0.16,18018.0,United Kingdom
C501905,37495,FAIRY CAKE BIRTHDAY CANDLE SET,3,2010-03-21 16:01:00,3.75,13451.0,United Kingdom
C555600,23204,CHARLOTTE BAG APPLES DESIGN,3,2011-06-06 11:17:00,0.85,12633.0,Germany
C581229,22027,TEA PARTY BIRTHDAY CARD,12,2011-12-08 10:14:00,0.42,12558.0,USA
C550423,23051,RECYCLED ACAPULCO MAT BLUE,1,2011-04-18 12:06:00,8.25,14403.0,United Kingdom
C511833,79341,WILLOW BRANCH LIGHTS.,8,2010-06-10 17:05:00,5.45,16210.0,United Kingdom
C560526,22197,POPCORN HOLDER,4,2011-07-19 11:57:00,0.72,16401.0,United Kingdom
C502555,75049L,LARGE CIRCULAR MIRROR MOBILE,7,2010-03-25 11:44:00,1.25,16550.0,United Kingdom
C494365,21539,RETRO SPOTS BUTTER DISH,1,2010-01-13 16:06:00,4.95,16057.0,United Kingdom
C570828,90059D,DIAMANTE HAIR GRIP PACK/2 PERIDOT,6,2011-10-12 13:15:00,1.65,14911.0,EIRE
C540555,21527,RED RETROSPOT TRADITIONAL TEAPOT ,1,2011-01-10 09:56:00,7.95,16279.0,United Kingdom
C497224,82552,WASHROOM METAL SIGN,2,2010-02-07 15:47:00,1.25,13798.0,United Kingdom
C537143,20685,DOORMAT RED RETROSPOT,1,2010-12-05 12:58:00,7.95,12748.0,United Kingdom
C510807,21212,PACK OF 72 RETRO SPOT CAKE CASES,24,2010-06-03 19:13:00,0.55,13175.0,United Kingdom
C514093,85040A,S/4 PINK FLOWER CANDLES IN BOWL,1,2010-06-30 12:09:00,1.65,14606.0,United Kingdom
C509341,21714,CITRONELLA CANDLE GARDEN POT,18,2010-05-21 12:31:00,0.65,13162.0,United Kingdom
C561594,23252,VINTAGE RED ENAMEL TRIM JUG ,16,2011-07-28 11:22:00,3.75,17671.0,United Kingdom
C509946,79323P,PINK CHERRY LIGHTS,3,2010-05-26 12:44:00,6.75,16176.0,United Kingdom
C531429,22198,LARGE POPCORN HOLDER ,1,2010-11-08 11:38:00,1.65,16401.0,United Kingdom
C494444,10138,ASSORTED COLOUR JUMBO PEN,1,2010-01-14 13:09:00,0.84,12921.0,United Kingdom
C513423,D,Discount,1,2010-06-24 12:51:00,16.55,14527.0,United Kingdom
C525651,21755,LOVE BUILDING BLOCK WORD,1,2010-10-06 12:13:00,5.95,13554.0,United Kingdom
C509015,21726,MULTI HEARTS  STICKERS,2,2010-05-19 13:36:00,0.85,14598.0,United Kingdom
C548460,22366,DOORMAT AIRMAIL ,2,2011-03-31 11:58:00,7.95,16801.0,United Kingdom
C516600,21918,SET 12 KIDS COLOUR  CHALK STICKS,4,2010-07-21 14:07:00,0.42,13012.0,United Kingdom
C566741,23404,HOME SWEET HOME BLACKBOARD,1,2011-09-14 14:55:00,4.95,15618.0,United Kingdom
C570290,21231,SWEETHEART CERAMIC TRINKET BOX,12,2011-10-10 11:54:00,1.25,14665.0,United Kingdom
C517894,21713,CITRONELLA CANDLE FLOWERPOT,7,2010-08-03 09:01:00,2.1,15253.0,United Kingdom
C558354,22493,PAINT YOUR OWN CANVAS SET,1,2011-06-28 14:57:00,1.65,14854.0,United Kingdom
C581235,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,1,2011-12-08 10:34:00,4.95,15950.0,United Kingdom
C550475,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1,2011-04-18 13:59:00,1.79,13798.0,United Kingdom
C499796,85232A,SET/3 POLKA DOT STACKING TINS,1,2010-03-02 15:27:00,4.95,13393.0,United Kingdom
C538350,20718,RED RETROSPOT SHOPPER BAG,3,2010-12-10 15:01:00,1.06,13798.0,United Kingdom
C557663,20717,STRAWBERRY SHOPPER BAG,12,2011-06-21 17:59:00,1.25,,EIRE
C517621,22168,ORGANISER WOOD ANTIQUE WHITE ,1,2010-07-30 11:36:00,8.5,13656.0,United Kingdom
C517949,84792,ENCHANTED BIRD COATHANGER 5 HOOK,36,2010-08-03 11:50:00,3.81,14113.0,United Kingdom
C537860,22192,BLUE DINER WALL CLOCK,2,2010-12-08 16:15:00,8.5,16252.0,United Kingdom
C495528,22203,MILK PAN RED RETROSPOT,1,2010-01-25 15:00:00,3.75,17610.0,United Kingdom
C560855,22261,FELT EGG COSY WHITE RABBIT ,4,2011-07-21 13:00:00,0.85,14410.0,United Kingdom
C489643,84839,SWEETHEART KEY CABINET,2,2009-12-01 16:26:00,6.75,15750.0,United Kingdom
C516958,21781,MA CAMPAGNE CUTLERY BOX,1,2010-07-25 16:00:00,12.75,14938.0,Channel Islands
C546997,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,6,2011-03-18 13:32:00,0.85,12748.0,United Kingdom
C579903,85159B,"WHITE TEA,COFFEE,SUGAR JARS",7,2011-12-01 08:41:00,1.95,18130.0,United Kingdom
C521022,22551,PLASTERS IN TIN SPACEBOY,1,2010-09-01 15:12:00,1.65,12720.0,Germany
C542832,35004B,SET OF 3 BLACK FLYING DUCKS,12,2011-02-01 11:28:00,4.65,15694.0,United Kingdom
C551540,23128,FELTCRAFT BOY JEAN-PAUL KIT,4,2011-05-03 08:47:00,4.95,14735.0,United Kingdom
C528409,79321,CHILLI LIGHTS,1,2010-10-22 09:21:00,4.95,13136.0,United Kingdom
C500709,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,2010-03-09 13:58:00,8.5,15722.0,United Kingdom
C513465,21777,RECIPE BOX WITH METAL HEART,1,2010-06-24 16:14:00,7.95,16225.0,United Kingdom
C525582,22138,BAKING SET 9 PIECE RETROSPOT ,3,2010-10-06 11:15:00,4.95,13674.0,United Kingdom
C495088,84967B,BLUE KASHMIRI OCCASIONAL TABLE,1,2010-01-21 10:46:00,79.95,17675.0,United Kingdom
C527606,20703,BLUE PADDED SOFT MOBILE,2,2010-10-18 13:43:00,4.25,18075.0,United Kingdom
C530713,22358,KINGS CHOICE TEA CADDY ,2,2010-11-04 11:34:00,2.95,14400.0,United Kingdom
C523401,85099B,JUMBO BAG RED RETROSPOT,1,2010-09-21 20:23:00,1.95,18223.0,United Kingdom
C580703,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,2011-12-05 16:26:00,3.75,16705.0,United Kingdom
C550181,20677,PINK POLKADOT BOWL,5,2011-04-14 17:43:00,1.25,13069.0,United Kingdom
C490991,21554,CERAMIC BIRDHOUSE RED ROOF LARGE,1,2009-12-08 17:10:00,5.95,13414.0,United Kingdom
C517063,84375,SET OF 20 KIDS COOKIE CUTTERS,24,2010-07-26 13:39:00,1.95,16555.0,United Kingdom
